city,brand,model,type,cc,color,km,year,price
Barcelona,HONDA,PCX 125,Scooter 125cc,125,negro,55000,2011,1595
Zaragoza,HONDA,PCX 125,Scooter 125cc,125,Gris,10970,2010,1650
Madrid,BMW,R 1200 GS,Trail,1170,,53000,2012,12999
Madrid,KAWASAKI,VERSYS 1000,Trail,1043,BLANCO,4128,2016,9650
Sevilla,YAMAHA,DT 125 RE,Enduro,124,,11990,2005,2849
Madrid,SUZUKI,GSX R1000,Sport,988,,52000,2002,2300
Madrid,SUZUKI,GS 500 E,Naked,487,,35500,2004,2500
Madrid,BMW,R 1200 R,Turismo,1170,,2367,2015,13499
Sevilla,SUZUKI,GS 500F,Turismo,487,,40000,2006,2299
Sevilla,SUZUKI,GS 500,Naked,487,,9676,2008,2999
